stdio    D         file_stdio.c:109  file_stdio_fopen                 [   0.00000] opening D:\Documents\Mini2\game\allegro5.cfg r
display  D   display_settings.c:212  debug_display_settings           [   0.08880] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.08881] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08882] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.08883] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08884] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.08885] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08886] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.08887] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08888] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.08889] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08890] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.08891] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08892] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.08893] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08895] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.08896] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08897] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.08898] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08899] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.08900] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08901] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.08902] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08903] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.08907] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08908] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.08909] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08910] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.08911] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08912] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.08913] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08914] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.08915] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08916] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.08917] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08918] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.08919] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08920] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.08921] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08922] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.08923] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08924] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.08925] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08926] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.08927] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08928] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.08929] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08930] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.08931] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08932] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.08933] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08934] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.08935] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08936] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.08940] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08941] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.08943] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08943] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.08944] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08945] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.08946] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08947] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.08948] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08949] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.08950] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08951] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.08952] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08953] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.08954] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08955] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.08956] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08957] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.08958] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08959] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.08960] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08961] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.08962] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08963] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.08964] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08965] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.08966] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08967] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.08968] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08969] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.08970] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08971] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.08972] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08973] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.08974] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08975] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.08976] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08977] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.08978] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08979] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.08980] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08981] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.08982] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08983] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.08984] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08985] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.08986] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08987] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.08988] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08989] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.08990] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08991] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.08992] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08993] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.08994] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08995] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.08996] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08997] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.08998] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08999] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.09000] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.09001] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.09002] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.09003] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.09004] Single Buffer requirement not met.
d3d      D         d3d_disp.cpp:1669 d3d_create_display_internals     [   0.09009] Trying format 0.
d3d      I         d3d_disp.cpp:1344 d3d_display_thread_proc          [   0.09040] Chose a display format: 23
d3d      I         d3d_disp.cpp:1413 d3d_display_thread_proc          [   0.09043] Normal window.
d3d      I         d3d_disp.cpp:781  d3d_create_device                [   0.11327] Using no depth stencil buffer
d3d      D         d3d_disp.cpp:839  d3d_create_device                [   0.14721] BeginScene succeeded in create_device
d3d      D         d3d_disp.cpp:847  d3d_create_device                [   0.14723] Success
d3d      D         d3d_disp.cpp:1692 d3d_create_display_internals     [   0.14727] Resumed after wait.
d3d      I         d3d_disp.cpp:1725 d3d_create_display_internals     [   0.14732] Format 0 succeeded.
d3d      D         d3d_disp.cpp:1756 d3d_create_display_internals     [   0.14735] Returning d3d_display: 00CEA008
d3d      D         d3d_disp.cpp:1781 d3d_create_display_locked        [   0.14736] al_display=00CEA008
d3d      D         d3d_disp.cpp:1782 d3d_create_display_locked        [   0.14737] al_display->vt=00CE9F50
system   D            wsystem.c:771  _al_win_safe_load_library        [   0.14769] PathFindOnPath found: C:\WINDOWS\system32\d3dx9_43.dll
system   D            wsystem.c:682  load_library_at_path             [   0.14770] Calling LoadLibrary C:\WINDOWS\system32\d3dx9_43.dll
system   I            wsystem.c:685  load_library_at_path             [   0.14946] Loaded C:\WINDOWS\system32\d3dx9_43.dll
d3dx9    I        d3d_d3dx9.cpp:88   _imp_load_d3dx9_module_version   [   0.14949] Module "d3dx9_43.dll" loaded.
stdio    D         file_stdio.c:109  file_stdio_fopen                 [   0.15107] opening resources/images/icon.png rb
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.15140] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.15141] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.15142] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.15143] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.15144] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.15145] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.15146] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.15147] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.15148] Fake format
d3d      D         d3d_disp.cpp:1196 real_choose_bitmap_format        [   0.15149] Alpha doesn't match
d3d      D         d3d_disp.cpp:1203 real_choose_bitmap_format        [   0.15150] Adapter format is 23
d3d      D         d3d_disp.cpp:1206 real_choose_bitmap_format        [   0.15151] Found a format
d3d      I         d3d_disp.cpp:2378 d3d_create_bitmap                [   0.15152] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   0.15210] added dtor for bitmap 00D046E0, func 61CC1C7B
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.16276] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.16278] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.16279] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.16280] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.16281] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.16282] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.16283] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.16284] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.16285] Fake format
d3d      D         d3d_disp.cpp:1196 real_choose_bitmap_format        [   0.16285] Alpha doesn't match
d3d      D         d3d_disp.cpp:1203 real_choose_bitmap_format        [   0.16286] Adapter format is 23
d3d      D         d3d_disp.cpp:1206 real_choose_bitmap_format        [   0.16287] Found a format
d3d      I         d3d_disp.cpp:2378 d3d_create_bitmap                [   0.16289] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   0.16513] added dtor for bitmap 00D04830, func 61CC1C7B
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.16766] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.16770] _al_d3d_sync_bitmap (video) ref count == 1
dtor     D               dtor.c:227  _al_unregister_destructor        [   0.17206] removed dtor for bitmap 00D04830
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.17306] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.17309] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.17310] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.17311] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.17312] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.17313] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.17313] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.17314] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.17315] Fake format
d3d      D         d3d_disp.cpp:1196 real_choose_bitmap_format        [   0.17316] Alpha doesn't match
d3d      D         d3d_disp.cpp:1203 real_choose_bitmap_format        [   0.17317] Adapter format is 23
d3d      D         d3d_disp.cpp:1206 real_choose_bitmap_format        [   0.17318] Found a format
d3d      I         d3d_disp.cpp:2378 d3d_create_bitmap                [   0.17319] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   0.17367] added dtor for bitmap 00D04830, func 61CC1C7B
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.18097] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.18102] _al_d3d_sync_bitmap (video) ref count == 1
dtor     D               dtor.c:227  _al_unregister_destructor        [   0.18399] removed dtor for bitmap 00D04830
dtor     D               dtor.c:196  _al_register_destructor          [   0.18580] added dtor for timer 00CF70E0, func 61CF628F
dtor     D               dtor.c:196  _al_register_destructor          [   0.18583] added dtor for queue 00D04D28, func 61CE5C4F
stdio    D         file_stdio.c:109  file_stdio_fopen                 [   0.18783] opening resources/images/UI/setting.png rb
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.18806] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.18808] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.18809] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.18810] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.18811] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.18812] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.18813] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.18814] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.18815] Fake format
d3d      D         d3d_disp.cpp:1196 real_choose_bitmap_format        [   0.18815] Alpha doesn't match
d3d      D         d3d_disp.cpp:1203 real_choose_bitmap_format        [   0.18816] Adapter format is 23
d3d      D         d3d_disp.cpp:1206 real_choose_bitmap_format        [   0.18817] Found a format
d3d      I         d3d_disp.cpp:2378 d3d_create_bitmap                [   0.18818] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   0.18850] added dtor for bitmap 00D014A8, func 61CC1C7B
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.19009] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.19010] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.19011] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.19012] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.19013] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.19014] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.19015] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.19016] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.19017] Fake format
d3d      D         d3d_disp.cpp:1196 real_choose_bitmap_format        [   0.19018] Alpha doesn't match
d3d      D         d3d_disp.cpp:1203 real_choose_bitmap_format        [   0.19019] Adapter format is 23
d3d      D         d3d_disp.cpp:1206 real_choose_bitmap_format        [   0.19020] Found a format
d3d      I         d3d_disp.cpp:2378 d3d_create_bitmap                [   0.19021] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   0.19046] added dtor for bitmap 00D04A18, func 61CC1C7B
dtor     D               dtor.c:227  _al_unregister_destructor        [   0.19050] removed dtor for bitmap 00D014A8
stdio    D         file_stdio.c:109  file_stdio_fopen                 [   0.19159] opening resources/images/UI/setting.png rb
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.19182] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.19183] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.19184] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.19185] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.19186] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.19187] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.19188] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.19189] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.19190] Fake format
d3d      D         d3d_disp.cpp:1196 real_choose_bitmap_format        [   0.19191] Alpha doesn't match
d3d      D         d3d_disp.cpp:1203 real_choose_bitmap_format        [   0.19192] Adapter format is 23
d3d      D         d3d_disp.cpp:1206 real_choose_bitmap_format        [   0.19193] Found a format
d3d      I         d3d_disp.cpp:2378 d3d_create_bitmap                [   0.19194] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   0.19214] added dtor for bitmap 00D015C0, func 61CC1C7B
stdio    D         file_stdio.c:109  file_stdio_fopen                 [   0.19461] opening resources/images/UI/setting_CL.png rb
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.19486] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.19488] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.19489] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.19490] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.19491] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.19492] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.19493] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.19494] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.19495] Fake format
d3d      D         d3d_disp.cpp:1196 real_choose_bitmap_format        [   0.19496] Alpha doesn't match
d3d      D         d3d_disp.cpp:1203 real_choose_bitmap_format        [   0.19497] Adapter format is 23
d3d      D         d3d_disp.cpp:1206 real_choose_bitmap_format        [   0.19498] Found a format
d3d      I         d3d_disp.cpp:2378 d3d_create_bitmap                [   0.19499] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   0.19544] added dtor for bitmap 00D013A0, func 61CC1C7B
stdio    D         file_stdio.c:109  file_stdio_fopen                 [   0.19784] opening resources/images/UI/return.png rb
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.19806] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.19807] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.19808] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.19809] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.19810] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.19811] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.19812] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.19813] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.19813] Fake format
d3d      D         d3d_disp.cpp:1196 real_choose_bitmap_format        [   0.19814] Alpha doesn't match
d3d      D         d3d_disp.cpp:1203 real_choose_bitmap_format        [   0.19815] Adapter format is 23
d3d      D         d3d_disp.cpp:1206 real_choose_bitmap_format        [   0.19816] Found a format
d3d      I         d3d_disp.cpp:2378 d3d_create_bitmap                [   0.19817] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   0.19855] added dtor for bitmap 00D24160, func 61CC1C7B
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.20002] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.20003] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.20004] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.20005] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.20006] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.20007] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.20008] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.20009] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.20010] Fake format
d3d      D         d3d_disp.cpp:1196 real_choose_bitmap_format        [   0.20011] Alpha doesn't match
d3d      D         d3d_disp.cpp:1203 real_choose_bitmap_format        [   0.20012] Adapter format is 23
d3d      D         d3d_disp.cpp:1206 real_choose_bitmap_format        [   0.20013] Found a format
d3d      I         d3d_disp.cpp:2378 d3d_create_bitmap                [   0.20014] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   0.20045] added dtor for bitmap 00D01710, func 61CC1C7B
